Unnamed: 0,Unnamed: 1,us,af,cn,me,sa,la,pa,ec,eu,se,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
43.0,dr0 b,-1.221,-1.119,-0.759394552,-0.924116978,-0.986134852,-1.986577949,-1.264192543,-0.715971368,-1.335559797,-1.049074905,,,,,,,,,,,,
44.0,dr35 a,0.0053,0.016667952,0.002672714,0.0137294,0.005102753,0.014135307,0.016477595,0.007684884,0.009673846,0.007124747,,,,,,,,,,,,
45.0,dr35 b,-0.292,-0.621720576,-0.332791201,-0.749026624,-0.411940105,-0.692943807,-0.759417636,-0.265448687,-0.588910808,-0.480438087,,,,,,,,,,,,
46.0,dr40 a,0.0128,0.018034419,0.003714718,0.015614362,0.006783615,0.020269683,0.016365599,0.013110795,0.011122353,0.008270574,,,,,,,,,,,,
47.0,dr40 b,-0.437,-0.559318072,-0.319418843,-0.68851821,-0.407371901,-0.735979299,-0.640284235,-0.351418101,-0.504528994,-0.400984397,,,,,,,,,,,,
48.0,dr45 a,0.0264,0.019600808,0.005381706,0.020582201,0.009369262,0.026628706,0.020768101,0.021481311,0.015236301,0.010279935,,,,,,,,,,,,
49.0,dr45 b,-0.518,-0.498065655,-0.326390896,-0.626545501,-0.372203043,-0.713779075,-0.588569796,-0.400452657,-0.463706503,-0.33048756,,,,,,,,,,,,
50.0,dr50 a,0.0442,0.02275799,0.009557827,0.027795663,0.013983231,0.033039638,0.029583092,0.040304392,0.023523743,0.013810196,,,,,,,,,,,,
51.0,dr50 b,-0.54,-0.413594512,-0.360736149,-0.547992439,-0.343306731,-0.650264609,-0.570757178,-0.515076252,-0.462610144,-0.283289063,,,,,,,,,,,,
52.0,dr55 a,0.0873,0.02821511,0.014817438,0.034803034,0.020892729,0.046787694,0.04421724,0.041443636,0.038317403,0.019580772,,,,,,,,,,,,
53.0,dr55 b,-0.611,-0.363389441,-0.331583406,-0.487560627,-0.330148396,-0.636648798,-0.556871562,-0.382673749,-0.481034976,-0.25709414,,,,,,,,,,,,
54.0,dr60 a,0.2076,0.039486806,0.02476266,0.044834923,0.034509272,0.072971357,0.074376975,0.049954627,0.065420694,0.032516853,,,,,,,,,,,,
55.0,dr60 b,-0.73,-0.320544719,-0.280081747,-0.393731255,-0.371660175,-0.651625191,-0.575179409,-0.322127059,-0.5124927,-0.301311555,,,,,,,,,,,,
56.0,dr65 a,0.3796,0.056951831,0.037646298,0.067936131,0.050409258,0.10602603,0.121979848,0.06112059,0.111736208,0.055035305,,,,,,,,,,,,
57.0,dr65 b,-0.787,-0.277367245,-0.218713467,-0.374043008,-0.332813958,-0.638808601,-0.591235948,-0.269116128,-0.542688662,-0.340118605,,,,,,,,,,,,
58.0,dr70 a,0.572,0.087953957,0.066766228,0.103967341,0.073943167,0.158872633,0.192363216,0.08842765,0.191793681,0.08885637,,,,,,,,,,,,
59.0,dr70 b,-0.785,-0.254721216,-0.205684231,-0.330580369,-0.283363193,-0.635569268,-0.58886207,-0.248511245,-0.563630618,-0.351907943,,,,,,,,,,,,
60.0,dr75 a,0.5533,0.13508025,0.107516746,0.149683255,0.108474068,0.227803845,0.272054375,0.135544303,0.304709921,0.13263907,,,,,,,,,,,,
61.0,dr75 b,-0.664,-0.23047494,-0.188993545,-0.270794064,-0.272186689,-0.603627823,-0.537848881,-0.240646034,-0.550445292,-0.325219015,,,,,,,,,,,,
62.0,dr80 a,0.7722,0.212540304,0.182508095,0.2122823,0.160005913,0.423807026,0.37233973,0.245588319,0.432720957,0.203630082,,,,,,,,,,,,
63.0,dr80 b,-0.621,-0.223125507,-0.237082675,-0.214784313,-0.234113183,-0.670318446,-0.478027703,-0.299529492,-0.497531357,-0.32501887,,,,,,,,,,,,
64.0,dr85 a,0.5184,0.324963313,0.270235217,0.305642364,0.233243925,0.58115334,0.491004856,0.281373231,0.602356742,0.271059349,,,,,,,,,,,,
65.0,dr85 b,-0.389,-0.221218659,-0.218259349,-0.184128129,-0.208411798,-0.620289128,-0.410507972,-0.178954046,-0.443274137,-0.284261664,,,,,,,,,,,,
66.0,dr90 a,0.524,0.456044761,0.383196435,0.425159822,0.324786232,0.687931634,0.593280563,0.380448302,0.678883633,0.346641084,,,,,,,,,,,,
67.0,dr90 b,-0.267,-0.200074806,-0.220698462,-0.166495198,-0.173688439,-0.535240751,-0.325031979,-0.144952812,-0.334793368,-0.26124701,,,,,,,,,,,,
68.0,dr95plus a,0.5031,0.579390831,0.492643394,0.595127708,0.347010986,0.656443081,0.707514634,0.563918229,0.735895591,0.444143454,,,,,,,,,,,,
69.0,dr95plus b,-0.132,-0.194423509,-0.179435262,-0.167294598,-0.186558307,-0.335499924,-0.234101562,-0.157948607,-0.220605566,-0.236567642,,,,,,,,,,,,
70.0,Goal CCS GL,90,90,90,90,90,90,90,90,90,90,,Replace fossil fuels with decarbonized gas handle,,,,,,,,,,
71.0,Goal CCS TLTL,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
72.0,Goal FEHC GL,20,20,20,20,20,20,20,20,20,20,,Free education health and contraception for all handle FEHC,,,,,,,,,,
73.0,Goal FEHC TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
74.0,XtaxRateEmpowerment,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
75.0,XtaxRatePensions,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
76.0,Goal FLWR GL,50,50,50,50,50,50,50,50,50,50,,Introduce (expand) regenerative agriculture handle,,,,,,,,,,
77.0,Goal FLWR TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
78.0,Goal FWRP GL,80,80,80,80,80,80,80,80,80,80,,Reduce food waste policy FWRP,,,,,,,,,,
79.0,Goal FWRP TLTL,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
80.0,Goal GH GL,75,75,75,75,75,75,75,75,75,75,,Replace fossil fuels with green hydrogen policy,,,,,,,,,,
81.0,Goal GH TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
82.0,Goal HydroP GL,0,0,0,0,0,0,0,0,0,0,,hydro capacity change policy,,,,,,,,,,
83.0,Goal HydroP TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
84.0,Goal IBFP GL,50,50,50,50,50,50,50,50,50,50,,Increase biofuels production beyond the GDPpp driven change IBFP,,,,,,,,,,
85.0,Goal IBFP TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
86.0,Goal IGPuINV GL,2,2,2,2,2,2,2,2,2,2,,Increase govt public investment IGPuINV through off-balance instruments (aka printing money),,,,,,,,,,
87.0,Goal IGPuINV TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
88.0,Goal IGPuS GL,2,2,2,2,2,2,2,2,2,2,,Increase govt public spending IGPuS through off-balance instruments (aka printing money),,,,,,,,,,
89.0,Goal IGPuS TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
90.0,Goal INFP GL,0,0,0,0,0,0,0,0,0,0,,Increase national food production,,,,,,,,,,
91.0,Goal INFP TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
92.0,Goal IGDCP GL new,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
93.0,Goal IGDCP TLTL new,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
94.0,XtaxCommons from 2023 GL,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
95.0,Goal IPWGI GL new,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
96.0,Goal IPWGI TLTL new,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
97.0,Goal IPWGIF GL new,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,
98.0,Goal IPWGIF TLTL new,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
99.0,Max IPWGIFx GL,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
100.0,Max IPWGIFx TLTL,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
101.0,Goal ISPV GL,100,100,100,100,100,100,100,100,100,100,,Increase share of PV policy ISPV,,,,,,,,,,
102.0,Goal ISPV TLTL,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,
103.0,Goal ITOWPS GL new,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
